Histogram1,Histogram2,Histogram3,Histogram4,Histogram5,Histogram6,Histogram7,Histogram8,Histogram9,Histogram10,Histogram11,Histogram12,Histogram13,Histogram14,Histogram15,Histogram16,Score
2,242,908,1805,2999,2248,1496,1626,5893,10462,10093,5976,2595,1222,1084,3099,3
0,448,27960,1039,667,595,600,759,3276,6139,4286,1674,854,795,418,797,1
0,0,65,1789,18086,16537,4711,6094,1197,978,724,221,235,230,272,611,1
147,275,415,798,962,812,995,3354,6289,7208,6582,5398,4442,3834,3975,6264,2
2042,2982,21472,5021,2171,2230,2861,2176,1286,2481,2228,1181,451,261,319,2588,0
2042,2982,21472,5021,2171,2230,2861,2176,1286,2481,2228,1181,451,261,319,2588,0
129,3521,1158,1076,15457,23079,6638,244,38,29,26,18,20,38,54,225,1
39,158,232,259,8968,27611,8065,2180,1478,493,316,428,742,470,247,64,3
321,173,255,188,695,8376,20752,16288,1299,156,155,172,213,435,767,1505,3
2950,8312,3204,1569,389,383,2868,15225,12806,3475,179,151,93,70,23,53,2
1,207,257,190,141,1059,16586,19085,8466,2191,293,137,156,113,129,2739,0
1,119,270,213,578,1292,8534,18857,11564,5097,1775,189,117,136,157,2851,1
3,42,175,379,1020,1420,2307,3099,3799,3887,3486,2695,1935,2070,5494,18496,3
12,279,483,114,96,687,7805,15038,12026,5991,3343,1590,668,450,544,2624,0
0,676,2484,984,9508,26882,8668,347,122,287,1206,540,46,0,0,0,1
2959,6421,1677,1570,6617,9775,4199,10294,2551,1420,1309,618,172,91,225,409,1
101,273,220,144,271,1043,16111,18406,8752,2571,486,163,170,135,164,2740,2
101,273,220,144,271,1043,16111,18406,8752,2571,486,163,170,135,164,2740,0
186,9795,3242,1372,975,777,625,503,448,406,394,350,470,924,2507,27333,0
0,0,1,171,5897,29057,14514,418,106,122,103,85,255,526,433,62,3
0,0,217,35861,13699,341,170,170,121,81,135,373,514,68,0,0,2
2,49,618,3740,7255,5277,11155,17927,4044,901,372,290,104,13,2,1,-1
1,128,797,1892,2440,4186,3570,2487,2030,1777,1527,1402,1431,1605,1924,24553,0
0,0,0,1,60,2407,13059,20992,10863,1440,152,103,147,177,211,2138,1
0,0,0,9,40,81,151,264,1563,5267,7924,8133,6964,5767,5475,10112,0
43,2429,3765,4244,8186,15311,10636,2455,1090,1102,971,570,296,129,118,405,3
3105,18032,4786,3269,3257,3945,6626,4222,902,281,157,223,282,359,468,1836,2
16,1975,1124,1773,31987,10549,1776,297,132,74,52,44,57,62,82,1750,0
75,42584,4558,266,160,216,136,274,277,813,491,75,94,140,127,21,1
1,275,646,406,456,719,736,639,552,607,1352,3499,5145,5802,6071,24844,0
13459,20211,8457,3284,549,320,294,204,130,91,70,68,99,156,180,2735,1
0,0,8,57,133,197,560,1187,2969,5633,7528,6485,5601,5717,5404,10271,1
0,1,117,28231,19507,1161,232,215,215,278,255,378,544,473,130,13,2
110,4385,8530,2222,1255,1121,1864,13410,12159,3965,1277,321,77,78,102,874,0
0,0,10,135,186,231,229,411,1616,3418,6694,9091,11475,9182,4284,4788,2
301,22076,12577,3318,928,623,513,436,397,548,969,1120,1198,1318,1434,3994,3
6539,11717,4038,3214,9118,6842,4446,1798,579,544,724,598,418,222,242,711,0
2050,2824,21852,5105,2403,2373,2879,2084,1036,2578,2394,1133,488,271,296,1984,-1
2050,2824,21852,5105,2403,2373,2879,2084,1036,2578,2394,1133,488,271,296,1984,1
0,0,31,258,2492,26339,19180,1971,36,0,0,0,0,0,0,0,1
14,139,305,2454,29532,15032,985,208,180,241,463,785,746,448,214,4,-1
0,0,7,31,76,2568,9695,10220,15419,10807,1633,150,153,176,228,587,2
0,23,1865,3839,2214,1460,1590,1825,1647,1806,3763,7713,10829,8625,3380,1171,0
4,2519,25633,1705,1318,1026,850,1040,5327,5328,2893,786,685,408,165,620,2
180,1618,1026,988,17687,22449,6021,251,171,162,262,382,116,40,65,332,1
8380,3690,1217,886,8301,19068,8116,438,96,52,21,10,15,6,4,7,3
3004,5633,1744,1633,6832,9211,4648,10675,2485,1439,1458,705,188,49,80,523,3
0,83,131,57,57,517,16032,14744,10032,4614,1370,332,208,184,187,3202,0
0,0,0,86,7561,33098,9207,257,135,192,283,384,502,45,0,0,0
352,1601,1975,925,1178,723,921,2061,2258,4016,8885,13455,11106,1999,268,27,2
8,9194,4711,2170,1085,1376,1526,7291,13814,6471,1090,389,381,340,211,250,0
129,1752,4177,338,310,364,1069,1195,3086,19165,16939,2831,186,66,53,90,1
0,0,5,38,385,8037,29138,12690,879,282,80,64,47,35,32,38,3
10729,7845,2788,9207,9688,6197,1795,586,801,777,442,235,207,215,204,34,3
65,1168,8653,1678,734,605,583,579,725,1945,8142,12297,8001,3525,1256,351,0
141,8766,20275,3262,779,529,640,1321,3291,4592,3108,1980,1390,978,304,394,1
567,1848,4923,5178,4782,5032,3623,8752,8145,3421,742,469,765,682,1380,1441,1
0,0,79,1914,17942,16626,4744,5961,1218,986,717,188,254,265,240,616,1
0,18,1236,18911,5878,1746,1223,1253,1265,1629,3438,4922,3431,2292,1778,2730,3
0,5,1255,605,1407,7739,20743,10266,5148,506,330,101,121,132,162,3230,0
0,0,3,8043,35078,6919,103,65,109,145,204,329,565,172,15,0,2
3228,18133,4611,3276,3241,4017,6693,4081,871,278,164,230,261,378,468,1820,2
5214,2243,1615,2077,9639,24522,3829,58,47,62,74,120,109,104,393,201,2
0,0,10,146,180,222,222,403,1625,3369,6580,9178,11367,9278,4294,4876,3
1038,1059,210,157,145,10022,37228,1784,74,21,11,1,0,0,0,0,3
12446,8473,3026,8418,8460,5964,1719,537,769,773,434,212,189,184,121,25,2
98,843,8342,3688,1736,3148,19572,7733,1248,452,458,523,483,523,570,2333,3
325,15562,5243,365,245,277,334,1535,1290,4243,9027,7184,3237,1258,175,7,1
1732,4606,2978,1116,1476,1163,798,536,455,549,1971,7687,10023,10032,5790,838,0
70,1960,4231,5167,14308,14091,6593,2332,1415,717,275,147,72,74,74,224,0
392,196,2999,15987,20470,9518,1843,262,56,25,2,0,0,0,0,0,1
96,625,859,3040,20021,17720,3259,872,397,452,760,919,927,592,393,818,0
38,281,1182,1108,2038,4442,7274,16816,12237,3191,948,408,117,166,556,948,0
734,3116,1529,6382,22846,15298,1200,475,115,46,7,2,0,0,0,0,2
3444,17831,4744,3366,3164,3899,6713,4130,864,268,170,235,273,368,463,1818,0
3539,3951,1624,952,1600,3673,10583,10599,8504,4721,351,101,92,78,101,1281,1
0,100,221,440,1385,1821,2966,2928,5987,8529,10045,8751,3680,1736,1191,1970,2
195,1182,587,548,908,682,990,2001,2306,2668,4064,12632,16069,4723,667,85,3
0,0,278,4486,17958,18458,7062,904,1012,946,468,130,42,6,0,0,2
194,4389,1977,2716,5626,21586,9035,1798,346,693,1436,430,81,0,0,0,0
192,7097,22985,9315,4551,2833,1569,900,800,526,371,355,75,39,25,117,0
9336,8835,1132,453,408,465,696,2843,7947,10933,5842,962,167,59,91,138,-1
15,198,361,106,99,2440,24891,19771,963,213,201,236,219,237,354,1446,-1
1,141,426,1103,3658,3065,10032,14511,8357,5766,1039,374,248,351,309,2369,0
0,1,301,368,563,730,1853,5253,12082,12467,8695,5175,2169,883,383,827,-1
779,414,358,494,511,530,808,8928,32273,6437,182,17,5,5,6,3,1
0,0,0,9,223,5284,24107,19194,1265,138,121,124,137,179,575,394,-1
0,8,4011,2389,1739,1949,2905,7551,15750,10880,2133,362,260,343,486,984,2
2,1533,1400,1090,1537,4740,10705,8079,9013,5577,2653,1752,1456,748,318,609,3
7,369,4261,17130,4651,1364,1129,1320,1489,2193,4500,6223,4114,1233,560,1207,2
30,801,614,605,620,645,614,1743,9747,14335,8877,8002,3446,392,199,1080,0
0,125,460,5066,34593,8217,157,108,112,285,1036,1375,206,10,0,0,0
88,110,4853,24073,16813,3025,779,443,303,210,204,226,120,108,105,290,2
6297,11599,3753,2927,6566,9119,5413,1566,776,688,547,250,159,159,182,1749,3
612,19669,6084,919,541,472,490,948,946,3235,6018,6047,2470,1180,284,392,1
929,585,639,231,445,4096,10615,12795,7425,4151,2184,1431,1541,1240,875,2568,2
369,2902,1046,8947,14813,15021,3317,1222,1040,623,469,501,582,678,203,17,0
0,33,158,263,560,11272,27071,9438,1308,232,140,107,130,161,269,608,3
0,0,6,264,823,1684,3008,3154,8127,11103,8636,8899,3282,638,239,444,2
170,4508,31771,13540,301,17,0,0,0,0,0,0,0,0,0,0,2
170,4508,31771,13540,301,17,0,0,0,0,0,0,0,0,0,0,2
0,447,3078,1510,868,1132,1953,3218,7951,16008,10047,3256,1177,443,95,567,1
0,447,3078,1510,868,1132,1953,3218,7951,16008,10047,3256,1177,443,95,567,1
40,2940,1042,1940,2579,10484,19557,6765,1564,311,624,1342,1084,35,0,0,-1
75,203,1191,775,2249,2869,8706,17184,9941,5121,1159,282,273,290,327,1105,1
1586,1501,1022,982,815,8933,7917,4057,2365,2762,2051,2026,2358,2883,2936,7556,0
0,5,101,374,567,6671,23951,9580,5867,1339,367,193,134,160,220,2221,-1
0,0,0,447,15589,30730,3308,111,102,83,266,701,217,180,16,0,2
0,1,8,137,182,223,226,379,1585,3192,6523,8904,11283,9586,4459,5062,1
0,0,0,109,7425,31494,10344,281,128,116,260,713,422,268,186,4,2
437,2386,34249,8947,732,797,1764,1402,549,133,109,94,64,69,18,0,3
1276,1726,10296,10418,5657,4165,3003,2392,1757,1338,1097,931,1079,1640,2019,2956,0
2164,3577,5133,3064,3670,2346,2303,6723,4299,3070,2494,2127,2335,2263,2539,3643,2
2164,3577,5133,3064,3670,2346,2303,6723,4299,3070,2494,2127,2335,2263,2539,3643,-1
90,6086,13131,16399,2384,1111,771,792,754,785,1066,1039,920,895,893,3191,3
90,6086,13131,16399,2384,1111,771,792,754,785,1066,1039,920,895,893,3191,2
0,12626,28066,3591,1458,717,374,270,193,135,191,365,773,1167,1132,692,3
394,194,5168,19859,18742,5155,1131,590,257,172,74,12,2,0,0,0,1
8,1677,6323,5797,3809,2736,2031,1514,1209,1233,1197,1581,2996,5058,4638,9943,1
3834,4426,2044,1236,1673,3359,8740,9508,8724,5783,730,128,110,73,134,1248,0
2147,13880,29932,2289,282,1201,1197,557,162,33,26,17,11,10,6,0,1
0,0,5,56,30,72,206,389,2421,5316,5849,5581,5411,5012,4865,16537,3
249,2180,2811,2524,1779,1691,3205,7981,11857,7047,4852,2508,947,475,136,65,-1
0,109,794,1116,1331,12695,22972,6683,694,507,300,320,624,842,432,2331,0
0,0,3,13,54,567,4649,19317,19579,5326,1236,538,100,55,85,228,1
987,1528,24865,5111,2278,1539,1217,912,714,592,636,2552,4476,2188,992,1163,2
2,58,1156,3847,4511,4243,4977,10761,11009,6390,1559,690,473,335,315,1424,0
0,0,18,10073,35465,2821,144,115,107,302,577,1426,656,46,0,0,1
0,0,2,36,186,780,1779,3822,15977,18549,6480,2384,282,214,176,1083,-1
0,0,0,1,961,14042,25756,8247,581,189,143,105,150,463,789,323,2
0,0,1,664,19467,28758,1723,77,74,70,180,444,164,121,7,0,1
7,399,2423,3084,2064,1864,698,398,306,290,254,270,329,429,774,36718,-1
827,1486,6671,23936,16107,2392,293,38,0,0,0,0,0,0,0,0,-1
312,2858,935,9007,14890,15360,3104,1081,1078,623,504,494,552,744,193,15,-1
312,2858,935,9007,14890,15360,3104,1081,1078,623,504,494,552,744,193,15,-1
0,0,108,192,404,731,1725,3763,11310,16222,9781,4603,1491,397,261,762,2
118,3002,2224,1745,2294,4400,20163,13574,1732,271,145,107,134,137,150,1554,1
2076,3843,636,322,212,241,682,1868,4812,9618,12293,8323,3238,1401,372,370,-1
0,6936,24138,5697,2728,1646,1044,758,581,505,465,1048,2501,2358,833,512,1
351,1896,8871,3425,515,633,1789,5685,10855,9227,5718,2278,371,37,6,93,-1
233,667,2258,4333,3013,3812,4678,2378,9474,10857,3043,1162,790,1387,891,2774,3
56,7509,2108,1470,1390,7420,7871,2334,9677,5010,1429,1217,1224,638,312,642,1
2,117,586,771,1459,3814,3302,1631,2029,6533,10864,9566,5163,2137,878,2898,3
0,33,285,582,888,998,13383,28886,4460,589,370,238,267,218,166,387,2
0,21,16674,21325,2947,1467,937,852,858,769,975,1510,1712,1284,270,149,0
0,55,7256,13644,8045,2610,2117,1782,1781,1769,1800,1984,2758,2689,1541,1919,1
177,819,4277,13290,16450,11438,1554,514,346,422,283,128,138,183,320,1411,0
177,819,4277,13290,16450,11438,1554,514,346,422,283,128,138,183,320,1411,0
2454,12108,27715,3615,689,697,439,205,181,159,94,84,95,99,240,1433,-1
1049,6830,9826,3650,3465,10292,12133,3083,288,88,86,83,74,63,57,683,-1
0,19,185,1292,4141,5038,5404,16968,11346,4678,824,112,113,107,131,1392,3
52,348,166,1012,14071,28161,4688,690,478,447,218,355,511,231,168,154,3
4,1477,1399,1043,1662,4985,10559,8147,8972,5486,2602,1799,1445,730,295,607,3
521,55,69,1809,22917,13053,5817,3758,226,136,114,124,148,161,213,2629,0
718,5317,1029,327,186,185,211,539,1111,1771,3527,5860,8083,8602,6131,6710,-1
6,251,295,386,865,1242,1903,2802,3655,4373,4708,4603,4049,3042,2358,15769,-1
2,184,648,1701,3114,2584,2891,14947,16018,6739,1352,117,104,75,113,1161,-1
0,177,605,911,1625,2572,2234,2308,5506,9747,10470,6334,2663,1111,1301,4186,1
1,304,1411,5151,15381,19401,6923,1085,272,246,102,24,4,2,0,0,0
0,97,31698,8572,1365,948,845,790,885,803,1179,1927,1113,194,171,1163,1
1254,1369,668,35754,11053,137,99,265,448,429,244,30,0,0,0,0,2
0,17,397,1706,2733,2853,3036,10648,15131,8229,4867,388,128,124,122,1371,2
0,137,662,234,211,5199,13093,10430,9402,8959,2633,50,57,51,65,567,1
0,137,662,234,211,5199,13093,10430,9402,8959,2633,50,57,51,65,567,-1
0,0,44,23463,25957,726,118,98,112,111,160,237,276,294,142,12,-1
25,723,2904,11020,21079,11431,2449,555,315,208,160,137,130,121,150,343,3
1433,3652,440,818,1674,5645,21611,11145,1960,938,529,319,125,18,0,0,0
11453,8141,2820,8867,9249,6039,1735,598,800,754,453,236,196,206,170,33,1
1838,7712,9322,5487,3421,2180,1607,1153,809,755,942,1058,1743,5035,3550,5138,2
4050,2803,432,171,156,220,1858,10528,14417,12397,3603,825,238,47,5,0,1
0,142,8610,34542,3846,639,558,760,931,786,407,135,70,39,43,242,1
21,424,232,141,272,2253,22580,21254,985,268,250,256,254,337,497,1726,0
44,283,573,568,10380,25219,7937,1484,1607,1423,480,553,491,273,291,144,-1
4,1588,1371,872,1356,4575,10879,8466,9120,5799,2559,1752,1410,750,262,449,-1
4,1588,1371,872,1356,4575,10879,8466,9120,5799,2559,1752,1410,750,262,449,2
0,0,2,22,166,677,1534,3255,16011,20144,6178,1579,401,227,181,1373,1
0,6,63,385,10565,32748,6557,195,126,161,191,319,401,32,1,0,-1
5,1023,1514,1140,914,1953,2744,3772,5246,6618,5633,5139,3286,2461,2753,7011,1
10028,10184,1100,435,320,321,395,579,3161,9207,9956,3973,533,99,13,3,1
0,205,250,165,200,229,255,393,1641,3344,6402,8749,11044,9317,4580,4976,3
0,11,644,3805,5205,8519,7110,5589,3876,3010,2409,2018,1697,1561,1868,4428,0
67,797,16720,26506,2224,530,624,1079,1175,608,214,72,54,65,96,919,0
3256,17857,4830,3276,3254,3982,6645,4187,869,273,167,222,270,379,463,1820,1
56,6709,11011,26041,1251,593,430,672,734,365,258,196,92,64,79,1756,2
3356,7730,33939,2687,510,90,54,68,69,80,113,194,415,390,348,264,1
3160,2121,502,185,142,248,1935,8688,13060,13800,5758,1729,338,76,7,1,1
0,106,6843,18606,13142,4465,1937,1310,852,560,420,350,279,280,401,2199,2
0,0,322,25023,24001,518,244,385,730,434,65,9,6,8,5,0,0
426,1115,450,286,405,613,1205,3243,10918,16218,9747,4467,1281,375,251,750,3
0,0,0,17,111,149,221,3257,9038,10172,10766,9055,5663,2684,560,57,-1
0,3312,4994,2381,1342,976,8070,25069,3012,181,103,103,98,113,150,1846,3
0,0,146,35529,13808,391,396,236,102,91,148,419,442,42,0,0,0
0,0,146,35529,13808,391,396,236,102,91,148,419,442,42,0,0,2
0,0,0,0,0,10,86,199,1892,4174,5827,6162,6410,5588,4750,16652,0
39,187,656,797,1031,1153,12324,28886,4433,618,378,205,271,201,183,388,1
39,187,656,797,1031,1153,12324,28886,4433,618,378,205,271,201,183,388,1
632,35359,3513,3658,5645,649,237,270,290,172,115,107,112,185,451,355,1
0,229,305,160,813,3574,3331,1598,1604,2835,5509,7517,8411,6232,4303,5329,1
0,0,87,863,2182,1368,1048,1073,963,714,599,601,771,2126,8956,30399,0
1,8852,14623,7619,4188,2481,1767,1463,1429,2117,3294,2262,539,211,221,683,2
522,1031,511,1651,6218,12944,7480,8472,6696,2929,2071,914,272,31,5,3,2
232,3305,7522,4347,2242,1929,5376,6321,8429,9362,1568,383,150,128,158,298,1
1,317,887,181,186,4054,11088,17599,11934,1473,167,118,150,1562,706,1327,0
167,11430,15262,4408,2301,1297,1964,6985,6286,1146,127,71,25,34,43,204,-1
0,116,799,733,13365,25450,6150,215,172,198,395,1444,2096,579,38,0,2
4,147,704,593,1108,2880,2925,2688,4435,8334,9695,7566,4278,2417,1023,2953,-1
0,221,1179,33455,5927,1927,1177,976,874,607,658,581,432,410,389,2937,3
0,4,40,585,3909,24410,14452,1048,1174,921,498,92,110,342,919,1803,0
1269,11020,422,542,1739,2936,2816,10574,10762,3746,1352,1225,876,629,344,55,1
3117,17851,4968,3221,3293,3911,6568,4309,895,283,163,228,265,373,476,1829,3
1696,5227,10035,23272,8315,1723,455,313,162,77,49,45,30,39,45,267,2
8488,14491,4883,3676,5661,5942,4213,1443,752,646,583,250,158,156,165,243,0
0,3314,11216,5287,3525,2897,2479,2107,1688,1591,1693,2299,3190,3788,3506,3170,1
14,1425,659,4719,31097,6399,925,598,327,175,129,120,114,179,231,4639,1
3877,3192,1347,498,478,7450,23415,9369,657,150,109,105,102,109,142,750,-1
1,8151,28455,11310,3512,321,0,0,0,0,0,0,0,0,0,0,0
2973,6198,1772,1562,6778,9445,4357,10531,2435,1329,1321,733,230,67,81,495,1
0,20,86,155,511,728,1103,1693,2335,2445,2318,1747,1843,3646,6624,25053,0
23,433,484,2788,27663,16599,808,263,225,423,517,353,626,469,75,1,0
3227,7772,3221,2400,1676,2349,2666,3715,8038,5610,3293,1627,1005,853,1127,3171,-1
1,211,1230,13196,22225,4877,1286,862,710,594,892,1574,2216,1524,289,63,1
0,1,10,141,193,214,224,398,1545,3258,6374,8830,11227,9658,4595,5082,2
2,211,213,341,1110,2934,4430,2124,1320,2484,4199,6350,7163,6080,5231,7558,1
5429,17007,2303,2082,2032,1920,1978,2263,2553,4032,4941,2557,751,305,82,72,3
0,0,71,1702,18172,16556,4666,6087,1212,1020,703,194,244,254,253,616,2
939,623,292,568,1173,43445,4589,38,25,18,13,18,3,2,1,3,0
572,6768,2702,2773,9054,16700,9227,2640,833,291,128,58,4,0,0,0,1
572,6768,2702,2773,9054,16700,9227,2640,833,291,128,58,4,0,0,0,2
0,391,13106,5171,1153,3629,1428,5339,8217,3054,1153,408,632,981,858,6230,1
0,0,110,188,395,736,1673,3765,11135,16123,9937,4753,1484,417,270,764,1
0,6396,24224,14168,1008,102,63,80,73,90,91,70,156,222,843,2721,0
0,236,4079,7355,3834,2837,1779,1303,873,707,679,553,599,614,762,25540,0
5,1482,23834,6420,2999,2443,2207,1684,1809,2224,2324,1579,821,466,336,1117,1
1,140,666,843,2609,5481,1925,598,1706,6573,10675,9328,4935,2480,1107,2683,0
0,0,4,780,9471,8880,10020,8054,3789,2976,1840,1192,917,773,856,2198,3
0,0,4,780,9471,8880,10020,8054,3789,2976,1840,1192,917,773,856,2198,1
130,6959,24855,3824,2091,1766,1277,2237,3743,2656,893,198,108,101,124,788,1
130,6959,24855,3824,2091,1766,1277,2237,3743,2656,893,198,108,101,124,788,2
316,4876,2716,2337,6309,11627,12240,7735,1214,946,794,365,151,94,30,0,1
150,1432,498,1741,22745,22258,2250,226,52,90,99,101,47,13,17,31,0
1814,9361,7978,1250,911,1019,798,655,656,1471,7043,9856,6748,1938,235,17,0
1814,9361,7978,1250,911,1019,798,655,656,1471,7043,9856,6748,1938,235,17,-1
4150,6445,2508,2715,7954,14792,6281,1377,931,912,584,277,240,209,244,2131,0
4150,6445,2508,2715,7954,14792,6281,1377,931,912,584,277,240,209,244,2131,0
0,1,43,145,180,249,223,359,1476,3056,6187,8463,11123,9882,4957,5406,-1
230,15941,25116,6577,597,323,234,204,150,113,93,62,51,58,77,481,0
7,14193,5670,537,361,296,5931,9437,7152,5041,726,619,296,40,1,0,0
415,1627,4060,2503,1949,1454,1233,4242,22360,8654,1678,848,530,146,38,13,2
604,1816,5335,710,452,3612,7578,12786,12177,4261,1490,432,170,78,71,178,-1
0,0,4,983,18314,28257,1407,109,129,117,418,1104,692,193,23,0,1
764,4029,37566,3976,530,1555,2191,729,145,53,51,56,81,24,0,0,1
7,1605,1414,1105,1702,5696,10833,8175,9078,4723,2432,1656,1432,527,269,558,1
9663,10359,1191,436,314,307,276,421,2098,6892,10458,6299,1301,225,58,9,0
7,160,1852,4341,19532,18075,3710,1138,670,462,323,314,255,201,170,540,0
0,4,53,1294,16494,17381,10423,1675,319,303,257,274,267,277,410,2319,3
0,24,33,121,348,658,2931,4935,6498,7716,8570,8451,5917,3703,1511,334,3
100,45064,1040,619,215,256,1979,1030,4,0,0,0,0,0,0,0,-1
2,1259,10289,2983,1749,1267,1568,1809,4118,10254,10093,4155,714,173,156,1161,1
15,2166,2193,644,578,556,450,328,578,1776,3235,5172,6801,8848,9215,9195,1
0,61,378,594,14112,29990,4914,177,129,172,615,573,35,0,0,0,0
0,61,378,594,14112,29990,4914,177,129,172,615,573,35,0,0,0,0
52,3148,30839,12480,465,955,1582,1445,475,58,39,43,62,67,39,1,1
1477,3686,31611,2146,1905,2151,1480,782,754,929,762,562,333,281,340,2551,2
818,1045,807,1952,12703,22079,6630,1137,345,391,446,799,1291,1167,140,0,0
207,900,4768,13869,17656,10007,1085,375,298,382,223,131,136,152,335,1226,0
0,0,699,35258,13869,456,118,106,148,228,645,215,8,0,0,0,3
1,1517,1148,577,514,613,5530,14143,15223,8067,1346,142,173,189,293,2274,3
63,480,664,7114,31719,6787,445,626,593,663,633,580,724,570,87,2,1
63,480,664,7114,31719,6787,445,626,593,663,633,580,724,570,87,2,1
0,94,2496,6108,4201,3218,2750,2421,2154,1975,1818,2266,4191,5533,4557,6525,1
0,37,266,595,869,998,12959,29154,4649,570,373,227,273,213,185,382,2
0,97,4148,24527,18525,3691,688,56,14,4,0,0,0,0,0,0,-1
0,0,103,198,392,742,1667,3758,11216,16015,9985,4681,1571,387,270,765,1
11,1549,2933,3172,3024,4250,5402,16311,11189,2072,484,528,327,239,202,57,0
11955,8492,2965,8552,8747,6053,1699,605,789,711,407,226,203,179,133,34,3
8402,14536,4892,3567,5643,5968,4236,1467,744,664,592,285,164,179,183,228,0
8402,14536,4892,3567,5643,5968,4236,1467,744,664,592,285,164,179,183,228,1
0,0,106,190,389,738,1700,3789,11304,16091,9817,4678,1502,409,275,762,2
64,469,1078,1417,8625,23667,11387,3761,395,233,213,205,160,73,3,0,2
0,7257,8475,2036,1076,897,1006,1576,1622,1996,2593,2882,2832,3059,3868,10575,-1
0,0,0,0,4,279,5283,19950,20266,4593,224,51,68,66,64,902,0
0,6,7922,9475,4163,2431,1777,1576,1387,1302,1194,1160,1444,2423,2953,12537,0
266,6800,7550,3756,2241,1552,1259,854,733,691,673,679,657,750,840,22449,1
0,96,742,14411,29178,4114,163,119,100,136,93,83,351,1418,721,25,-1
3174,17970,4812,3297,3222,3973,6694,4130,888,263,172,222,264,388,456,1825,2
